id,email,username,password_digest,created_at,updated_at,password_reset_token,password_reset_sent_at,confirmed_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,posts_count,comments_count,avatar
1,0@mail.com,user000,$2a$07$6BKUJNuop6r.wqeEpFo1yu43MqAvZ0N2vXdU7BrVoFAIS71rVlABe,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
2,1@mail.com,user111,$2a$07$uXPJsL1KtfiiSUSiJ8Dk2egwaIYaEj2WrJc8e6frfYVhbLGn3RDwq,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
3,2@mail.com,user222,$2a$07$7de1JKyB7D7h09SsEip2ze68DhmrseIH/LCioUtWkFdCPG4Flz2xu,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
4,3@mail.com,user333,$2a$07$HugcVrgr4kkUh6A.7yDu0.u.LLaizkoURXo0HHjhYNS00HYMwaVlm,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
5,4@mail.com,user444,$2a$07$kHQRd6CP2SnQx3H8EuMC1.isPyiJAu6WRJ2N86qthMLnBvJRv29/y,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
6,5@mail.com,user555,$2a$07$Nhug7dBDFB0b8Z4EoE758O9/9qOQcZAFXP1ozbsKYyEsfC3xZ11PS,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
7,6@mail.com,user666,$2a$07$iIPzstNeFjT8HD/IBPcJYecLtQRKxn7.6fiBH25ihZPrKfvzNpmCm,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
8,7@mail.com,user777,$2a$07$2j8VtjCb0ploWOWcDylh1usGpF4WoFW2GHNw3O23Ybq378Wx05zKG,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
9,8@mail.com,user888,$2a$07$uUaB.JDKPy1piFBb0y6jau99cbm/y6.ib/rfZIlQNcdsPgitFgIca,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
10,9@mail.com,user999,$2a$07$CA/Es/72YXlEjlh50LrxSeTjchPRHEd66Hc4gexSfaw5X6TBcubHS,2022-06-23 11:49:09 UTC,2022-06-23 11:49:09 UTC,,,,0,,,,,0,0,
